keyword,search_volume,kd,cpc,competition,intent,competitor_count,best_competitor_position,best_competitor_domain,best_competitor_url,all_competitors,our_position,our_url,opportunity_score,serp_features
wood deck and fire pit,1000,0,1.440000057220459,1,transactional,1,15,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/blog/2021/03/11/how-to-safely-use-a-fire-pit-on-your-wood-or-composite-deck/,fenceanddeckconnection.com #15,,,62.5,"ai_overview, organic, people_also_ask, video, discussions_and_forums, related_searches, images"
wood deck skirting,1300,0,0.5099999904632568,0.20000000298023224,transactional,1,20,deckguru.com,https://deckguru.com/deck-skirting-ideas-2025/,deckguru.com #20,,,61.9,"images, people_also_ask, organic, video, perspectives, discussions_and_forums, popular_products, related_searches"
how do you clean a trex deck,2400,0,0.5699999928474426,0.9300000071525574,informational,1,38,battlefielddecks.com,https://battlefielddecks.com/how-to-clean-trex-decking/,battlefielddecks.com #38,,,61.54,"ai_overview, video, people_also_ask, organic, discussions_and_forums, short_videos, related_searches"
deck renovation,1600,0,14.1899995803833,0.5099999904632568,commercial,1,25,deckguru.com,https://deckguru.com/deck-replacement/,deckguru.com #25,,,61.54,"local_pack, video, people_also_ask, organic, images, perspectives, related_searches"
deck outdoor,3600,34,2.930000066757202,1,transactional,1,58,coreoutdoor.com,https://www.coreoutdoor.com/,coreoutdoor.com #58,,,61.02,"images, popular_products, organic, local_pack, people_also_ask, related_searches"
how long does wood deck last,720,0,3.2100000381469727,0.05000000074505806,informational,1,11,deckscapesofva.com,https://deckscapesofva.com/blog/how-long-does-a-deck-last,deckscapesofva.com #11,,,60.0,"ai_overview, organic, people_also_ask, video, short_videos, related_searches"
deck and patio builder,480,30,22.489999771118164,0.3799999952316284,commercial,3,7,battlefielddecks.com,https://battlefielddecks.com/,battlefielddecks.com #7; stoneridgeoutdoor.com #32; coreoutdoor.com #50,,,60.0,"local_pack, organic, people_also_search, perspectives, related_searches"
what is the best deck stain,480,9,0.7200000286102295,1,informational,1,7,deckguru.com,https://deckguru.com/blog/different-types-of-deck-stains/,deckguru.com #7,,,60.0,"ai_overview, organic, people_also_ask, popular_products, discussions_and_forums, related_searches"
fence contractor savannah ga,480,18,13.5600004196167,0.5699999928474426,commercial,1,7,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-savannah/,fenceanddeckconnection.com #7,,,60.0,"local_pack, organic, related_searches"
fire pits safe for decks,480,0,1.3300000429153442,1,transactional,1,7,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/blog/2021/03/11/how-to-safely-use-a-fire-pit-on-your-wood-or-composite-deck/,fenceanddeckconnection.com #7,,,60.0,"ai_overview, popular_products, people_also_ask, organic, discussions_and_forums, related_searches"
average size deck,480,0,1.0099999904632568,0.07999999821186066,informational,1,7,sunburstdeck.com,https://sunburstdeck.com/what-is-a-good-size-deck/,sunburstdeck.com #7,,,60.0,"ai_overview, organic, people_also_ask, images, video, related_searches"
trex deck cleaning,1900,0,0.550000011920929,0.9599999785423279,commercial,1,31,battlefielddecks.com,https://battlefielddecks.com/how-to-clean-trex-decking/,battlefielddecks.com #31,,,59.38,"ai_overview, organic, people_also_ask, video, discussions_and_forums, short_videos, popular_products, related_searches, images"
deck service,1900,30,17.68000030517578,0.20000000298023224,commercial,1,31,deckguru.com,https://deckguru.com/deck-restoration-mclean-va/,deckguru.com #31,,,59.38,"local_pack, people_also_ask, organic, perspectives, discussions_and_forums, related_searches, images"
replace decks,1900,0,17.170000076293945,0.6800000071525574,transactional,1,31,deckguru.com,https://deckguru.com/deck-upgrade/,deckguru.com #31,,,59.38,"local_pack, people_also_ask, discussions_and_forums, video, organic, perspectives, related_searches, popular_products"
hanover pavers pa,1300,0,13.3100004196167,0.14000000059604645,navigational,1,21,fairfaxcontractor.com,https://fairfaxcontractor.com/hanover-patio-pavers/,fairfaxcontractor.com #21,,,59.09,"organic, people_also_search, people_also_ask, related_searches, knowledge_graph, google_reviews, third_party_reviews, images"
how long does deck last,590,0,14.619999885559082,0.029999999329447746,informational,1,9,deckscapesofva.com,https://deckscapesofva.com/blog/how-long-does-a-deck-last,deckscapesofva.com #9,,,59.0,"ai_overview, organic, people_also_ask, related_searches"
brewery northern virginia,1000,34,0.5699999928474426,0.20999999344348907,informational,1,16,deckscapesofva.com,https://deckscapesofva.com/blog/best-breweries-and-wineries-northern-virginia,deckscapesofva.com #16,,,58.82,"local_pack, organic, related_searches"
decks porches,1900,0,2.4700000286102295,0.9900000095367432,transactional,1,32,coreoutdoor.com,https://www.coreoutdoor.com/,coreoutdoor.com #32,,,57.58,"local_pack, images, people_also_ask, organic, video, related_searches"
how do you clean trex decking,2400,0,0.5699999928474426,0.9300000071525574,informational,1,41,battlefielddecks.com,https://battlefielddecks.com/how-to-clean-trex-decking/,battlefielddecks.com #41,,,57.14,"ai_overview, video, people_also_ask, organic, short_videos, discussions_and_forums, related_searches"
underneath deck,1600,0,3.7699999809265137,0.5899999737739563,informational,1,27,coreoutdoor.com,https://www.coreoutdoor.com/most-popular/2024/01/5-best-ways-to-finish-the-underside-of-decks-porches/,coreoutdoor.com #27,,,57.14,"images, video, people_also_ask, popular_products, organic, discussions_and_forums, perspectives, related_searches"
renovating decking,1600,0,14.1899995803833,0.5099999904632568,commercial,1,27,deckguru.com,https://deckguru.com/how-to-restore-a-weathered-deck-a-complete-guide/,deckguru.com #27,,,57.14,"video, people_also_ask, discussions_and_forums, organic, perspectives, local_pack, related_searches, images"
under decking,1600,0,3.7699999809265137,0.5899999737739563,informational,1,27,deckscapesofva.com,https://deckscapesofva.com/blog/what-is-under-deck-drainage-and-best-options,deckscapesofva.com #27,,,57.14,"popular_products, people_also_ask, organic, video, local_pack, images, related_searches"
what is timbertech made of,170,0,2.240000009536743,0.10999999940395355,informational,1,2,sunburstdeck.com,https://sunburstdeck.com/what-is-timbertech-made-of/,sunburstdeck.com #2,,,56.67,"ai_overview, organic, people_also_ask, related_searches, images"
flagstone patio pavers,1300,0,0.8700000047683716,0.9700000286102295,transactional,1,22,deckscapesofva.com,https://deckscapesofva.com/blog/pavers-or-flagstone-for-va-patios,deckscapesofva.com #22,,,56.52,"organic, local_pack, popular_products, people_also_ask, images, related_searches"
gazebo builder,1900,9,8.3100004196167,0.36000001430511475,transactional,1,33,sunburstdeck.com,https://sunburstdeck.com/category/custom-gazebo/,sunburstdeck.com #33,,,55.88,"local_pack, organic, people_also_ask, images, related_searches"
deck foundation options,390,0,2.1500000953674316,1,informational,1,6,deckguru.com,https://deckguru.com/blog/best-types-of-deck-footings-for-your-home/,deckguru.com #6,,,55.71,"ai_overview, organic, video, people_also_ask, images, discussions_and_forums, perspectives, popular_products, related_searches"
gravel for cement,390,0,0.41999998688697815,0.7099999785423279,transactional,1,6,fairfaxcontractor.com,https://fairfaxcontractor.com/types-of-gravel-for-construction/,fairfaxcontractor.com #6,,,55.71,"ai_overview, organic, people_also_ask, local_pack, popular_products, video, perspectives, images, related_searches"
maryland fence contractors,390,21,5.960000038146973,0.5600000023841858,commercial,1,6,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/,fenceanddeckconnection.com #6,,,55.71,"local_pack, organic, people_also_search, related_searches"
puppy picket fence,390,0,0.9300000071525574,1,transactional,1,6,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-aluminum/puppy-picket/,fenceanddeckconnection.com #6,,,55.71,"images, organic, popular_products, people_also_ask, video, related_searches"
screened deck ideas,1000,0,2.6100001335144043,0.9900000095367432,commercial,1,17,velerodeckdesigns.com,https://velerodeckdesigns.com/gallery/screened-porch/,velerodeckdesigns.com #17,,,55.56,"images, organic, video, people_also_ask, popular_products, related_searches"
4 season porch,720,0,7.909999847412109,0.9200000166893005,transactional,1,12,steadfastinc.com,https://www.steadfastinc.com/blog/three-season-porch-vs-four-season-porch,steadfastinc.com #12,,,55.38,"ai_overview, organic, images, people_also_ask, related_searches"
three-season sunroom cost,720,0,4.829999923706055,0.41999998688697815,informational,1,12,sunburstdeck.com,https://sunburstdeck.com/three-season-vs-four-season-sunrooms/,sunburstdeck.com #12,,,55.38,"ai_overview, organic, people_also_ask, discussions_and_forums, video, related_searches, images"
deck inspectors,880,0,13.920000076293945,0.18000000715255737,informational,1,15,deckguru.com,https://deckguru.com/deck-inspections/,deckguru.com #15,,,55.0,"local_pack, people_also_ask, organic, video, images, related_searches"
timbertech deck cleaner,880,0,0.6000000238418579,0.9399999976158142,transactional,1,15,sunburstdeck.com,https://sunburstdeck.com/how-to-clean-timbertech-decking/,sunburstdeck.com #15,,,55.0,"organic, people_also_ask, video, short_videos, related_searches, google_reviews, knowledge_graph, images"
decks virginia,110,0,3.9100000858306885,0.20999999344348907,navigational,9,1,decksva.com,https://www.decksva.com/,decksva.com #1; deckscapesofva.com #3; coreoutdoor.com #4; nvdeck.com #9; battlefielddecks.com #19; stoneridgeoutdoor.com #20; deckguru.com #22; prodeckconstructionva.com #25; craigsundecks.com #35,,,55.0,"organic, local_pack, people_also_search, related_searches"
clean trex deck,1900,0,0.550000011920929,0.9599999785423279,transactional,1,34,battlefielddecks.com,https://battlefielddecks.com/how-to-clean-trex-decking/,battlefielddecks.com #34,,,54.29,"ai_overview, organic, people_also_ask, video, discussions_and_forums, short_videos, related_searches, images"
cleaning trex decking,1900,1,0.550000011920929,0.9599999785423279,commercial,1,34,battlefielddecks.com,https://battlefielddecks.com/how-to-clean-trex-decking/,battlefielddecks.com #34,,,54.29,"ai_overview, organic, people_also_ask, video, discussions_and_forums, short_videos, related_searches, images"
wooden deck skirting,1300,0,0.5099999904632568,0.20000000298023224,transactional,1,23,deckguru.com,https://deckguru.com/deck-skirting-ideas-2025/,deckguru.com #23,,,54.17,"ai_overview, organic, people_also_ask, video, short_videos, popular_products, perspectives, related_searches, images"
screened in patio cost,590,0,8.899999618530273,1,commercial,1,10,deckscapesofva.com,https://deckscapesofva.com/blog/porch-costs-northern-virginia,deckscapesofva.com #10,,,53.64,"ai_overview, organic, people_also_ask, discussions_and_forums, video, popular_products, related_searches, images"
capital railing,590,0,4.130000114440918,0.12999999523162842,navigational,1,10,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/wp-content/uploads/2025/03/CAPITAL-RAILING-PRIVACY-1.pdf,fenceanddeckconnection.com #10,,,53.64,"organic, people_also_ask, related_searches, third_party_reviews, google_reviews, knowledge_graph, images"
decking cost,1600,13,5.539999961853027,0.6899999976158142,commercial,1,29,sunburstdeck.com,https://sunburstdeck.com/guide-to-timbertech-decking-costs/,sunburstdeck.com #29,,,53.33,"organic, people_also_ask, popular_products, related_searches, images"
estimate cost of trex deck,1600,21,2.309999942779541,0.2800000011920929,informational,1,29,sunburstdeck.com,https://sunburstdeck.com/trex-decking-cost-and-budget-recommendations/,sunburstdeck.com #29,,,53.33,"organic, people_also_ask, ai_overview, related_searches"
deck patio builders,480,31,22.489999771118164,0.3799999952316284,commercial,1,8,battlefielddecks.com,https://battlefielddecks.com/,battlefielddecks.com #8,,,53.33,"local_pack, people_also_ask, organic, related_searches"
outdoor deck steps ideas,480,3,0.25999999046325684,0.9399999976158142,informational,1,8,deckguru.com,https://deckguru.com/deck-step-ideas/,deckguru.com #8,,,53.33,"images, organic, people_also_ask, video, short_videos, perspectives, related_searches, popular_products"
superdeck 9600,480,0,5.039999961853027,0.05000000074505806,transactional,1,8,deckguru.com,https://deckguru.com/wp-content/uploads/2021/11/Warranty-SuperDeck-Solid-9600.pdf,deckguru.com #8,,,53.33,"organic, images, people_also_ask, related_searches"
fence companies savannah ga,480,25,13.5600004196167,0.5699999928474426,commercial,1,8,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-savannah/,fenceanddeckconnection.com #8,,,53.33,"ai_overview, local_pack, organic, people_also_search, people_also_ask, related_searches"
puppy picket aluminum fence,480,0,1.2799999713897705,1,transactional,1,8,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-aluminum/puppy-picket/,fenceanddeckconnection.com #8,,,53.33,"images, popular_products, organic, people_also_ask, discussions_and_forums, related_searches"
prodeck,480,7,7.559999942779541,0.25999999046325684,transactional,1,8,prodeckconstructionva.com,https://www.prodeckconstructionva.com/,prodeckconstructionva.com #8,,,53.33,"organic, local_pack, video, related_searches, images"
horizontal wood privacy fence,320,0,0.33000001311302185,1,commercial,1,5,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-wood/horizontal-privacy/,fenceanddeckconnection.com #5,,,53.33,"images, organic, people_also_ask, popular_products, related_searches"
cost of installing decking,1900,16,10.229999542236328,0.15000000596046448,informational,1,35,sunburstdeck.com,https://sunburstdeck.com/guide-to-timbertech-decking-costs/,sunburstdeck.com #35,,,52.78,"ai_overview, organic, people_also_ask, video, related_searches"
general contractor lansing mi,210,20,14.59000015258789,0.8199999928474426,navigational,1,3,commconstruct.com,https://commconstruct.com/,commconstruct.com #3,,,52.5,"local_pack, organic, people_also_ask, related_searches"
lansing general contractor,210,20,14.59000015258789,0.8199999928474426,navigational,1,3,commconstruct.com,https://commconstruct.com/,commconstruct.com #3,,,52.5,"local_pack, organic, people_also_ask, related_searches"
can you put a fire pit on a deck,210,0,8.390000343322754,0.5199999809265137,informational,1,3,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/blog/2021/03/11/how-to-safely-use-a-fire-pit-on-your-wood-or-composite-deck/,fenceanddeckconnection.com #3,,,52.5,"ai_overview, organic, people_also_ask, video, discussions_and_forums, related_searches"
general contractor northern va,260,30,10.979999542236328,0.6299999952316284,navigational,1,4,fairfaxcontractor.com,https://fairfaxcontractor.com/,fairfaxcontractor.com #4,,,52.0,"local_pack, organic, people_also_ask, related_searches"
increte color chart,260,0,,0.009999999776482582,informational,1,4,fairfaxcontractor.com,https://fairfaxcontractor.com/increte-concrete-color-chart/,fairfaxcontractor.com #4,,,52.0,"images, organic, related_searches"
boca code,260,7,,0,informational,1,4,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/pool-code-fencing-boca-codes/,fenceanddeckconnection.com #4,,,52.0,"ai_overview, organic, people_also_ask, images, related_searches, google_reviews, knowledge_graph"
cost of four season room addition,260,0,13.399999618530273,0.5600000023841858,informational,1,4,sunburstdeck.com,https://sunburstdeck.com/three-season-vs-four-season-sunrooms/,sunburstdeck.com #4,,,52.0,"ai_overview, organic, people_also_ask, discussions_and_forums, video, related_searches, images"
patio prices,880,0,6.269999980926514,0.7900000214576721,commercial,1,16,deckscapesofva.com,https://deckscapesofva.com/blog/patio-cost-northern-va,deckscapesofva.com #16,,,51.76,"ai_overview, organic, people_also_ask, discussions_and_forums, video, related_searches, images"
enclosing under a deck ideas,880,0,0.6700000166893005,0.3700000047683716,informational,1,16,sunburstdeck.com,https://sunburstdeck.com/enclosed-deck-ideas-for-the-new-year/,sunburstdeck.com #16,,,51.76,"ai_overview, images, video, organic, people_also_ask, discussions_and_forums, related_searches"
underdeck drain,720,0,1.7000000476837158,1,transactional,1,13,deckscapesofva.com,https://deckscapesofva.com/blog/what-is-under-deck-drainage-and-best-options,deckscapesofva.com #13,,,51.43,"video, organic, popular_products, images, local_pack, related_searches"
4 seasons porch,720,3,7.909999847412109,0.9200000166893005,commercial,1,13,steadfastinc.com,https://www.steadfastinc.com/blog/three-season-porch-vs-four-season-porch,steadfastinc.com #13,,,51.43,"images, people_also_ask, organic, video, popular_products, related_searches"
deck replacement,1900,0,17.170000076293945,0.6800000071525574,commercial,1,36,deckguru.com,https://deckguru.com/deck-upgrade/,deckguru.com #36,,,51.35,"local_pack, people_also_ask, organic, video, popular_products, related_searches, images"
cost to lay decking,1900,16,10.229999542236328,0.15000000596046448,informational,1,36,sunburstdeck.com,https://sunburstdeck.com/guide-to-timbertech-decking-costs/,sunburstdeck.com #36,,,51.35,"ai_overview, organic, people_also_ask, discussions_and_forums, video, perspectives, related_searches"
back screened porch,2400,0,6.480000019073486,1,transactional,1,47,velerodeckdesigns.com,https://velerodeckdesigns.com/gallery/screened-porch/,velerodeckdesigns.com #47,,,50.0,"video, people_also_ask, popular_products, organic, discussions_and_forums, related_searches, images"
building renovations,590,54,8.369999885559082,0.12999999523162842,informational,1,11,commconstruct.com,https://commconstruct.com/east-grand-rapids-remodeling,commconstruct.com #11,,,49.17,"local_pack, people_also_ask, organic, related_searches, images"
decks styles,590,7,3,0.9599999785423279,informational,1,11,deckscapesofva.com,https://deckscapesofva.com/blog/popular-deck-trends,deckscapesofva.com #11,,,49.17,"images, organic, people_also_ask, video, discussions_and_forums, related_searches, popular_products"
outdoor porch ceiling material,590,0,0.7300000190734863,1,transactional,1,11,deckscapesofva.com,https://deckscapesofva.com/blog/comparing-porch-materials-pvc-composite-wood,deckscapesofva.com #11,,,49.17,"ai_overview, organic, images, people_also_ask, popular_products, related_searches"
walk out basement contractors,590,0,33.77000045776367,0.07000000029802322,transactional,1,11,fairfaxcontractor.com,https://fairfaxcontractor.com/egress-walkout-contractor-northern-virginia/,fairfaxcontractor.com #11,,,49.17,"ai_overview, local_pack, organic, people_also_ask, related_searches, images"
horizontal wood panel fence,590,0,0.41999998688697815,1,transactional,1,11,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-wood/horizontal-privacy/,fenceanddeckconnection.com #11,,,49.17,"popular_products, organic, images, video, related_searches"
four season porch,590,1,8.3100004196167,0.7799999713897705,commercial,2,11,steadfastinc.com,https://www.steadfastinc.com/blog/three-season-porch-vs-four-season-porch,steadfastinc.com #11; sunburstdeck.com #34,,,49.17,"ai_overview, organic, images, people_also_ask, video, related_searches"
composite deck skirt,880,0,0.4399999976158142,0.8299999833106995,transactional,1,17,deckguru.com,https://deckguru.com/deck-skirting-ideas-2025/,deckguru.com #17,,,48.89,"images, organic, video, people_also_ask, discussions_and_forums, related_searches"
patios cost,880,0,6.269999980926514,0.7900000214576721,commercial,1,17,deckscapesofva.com,https://deckscapesofva.com/blog/patio-cost-northern-va,deckscapesofva.com #17,,,48.89,"ai_overview, organic, people_also_ask, video, perspectives, discussions_and_forums, related_searches"
concrete color charts,880,21,1.0800000429153442,0.6399999856948853,informational,1,17,fairfaxcontractor.com,https://fairfaxcontractor.com/davis-color-chart/,fairfaxcontractor.com #17,,,48.89,"images, organic, people_also_ask, related_searches, popular_products"
roof streaking,390,0,0.3400000035762787,0.05999999865889549,commercial,1,7,commconstruct.com,https://commconstruct.com/news/black-streaks-on-roof-algae,commconstruct.com #7,,,48.75,"ai_overview, organic, people_also_ask, video, images, short_videos, related_searches"
streaks on roof,390,0,0.3400000035762787,0.05999999865889549,informational,1,7,commconstruct.com,https://commconstruct.com/news/black-streaks-on-roof-algae,commconstruct.com #7,,,48.75,"ai_overview, organic, people_also_ask, video, related_searches, images"
fence panels board on board,390,0,0.44999998807907104,0.9900000095367432,transactional,1,7,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-wood/board-on-board/,fenceanddeckconnection.com #7,,,48.75,"images, organic, popular_products, people_also_ask, related_searches"
permits fairfax county,1900,26,0.6499999761581421,0.009999999776482582,informational,1,38,battlefielddecks.com,https://battlefielddecks.com/home-reno-permit-essentials-in-fairfax-county/,battlefielddecks.com #38,,,48.72,"organic, video, related_searches, knowledge_graph, google_reviews, images"
deck board size,1600,0,0.49000000953674316,0.9300000071525574,transactional,1,32,deckguru.com,https://deckguru.com/how-wide-are-deck-boards/,deckguru.com #32,,,48.48,"ai_overview, organic, people_also_ask, images, popular_products, video, related_searches"
wood deck skirt,1300,0,0.5099999904632568,0.20000000298023224,transactional,1,26,deckguru.com,https://deckguru.com/deck-skirting-ideas-2025/,deckguru.com #26,,,48.15,"organic, people_also_ask, images, video, short_videos, related_searches"
how to clean trex deck boards,2400,0,0.5699999928474426,0.9300000071525574,informational,1,49,battlefielddecks.com,https://battlefielddecks.com/how-to-clean-trex-decking/,battlefielddecks.com #49,,,48.0,"ai_overview, organic, people_also_ask, video, discussions_and_forums, short_videos, images, related_searches"
patio deck near me,720,9,16.829999923706055,0.6499999761581421,transactional,1,14,battlefielddecks.com,https://battlefielddecks.com/experienced-deck-builder-patio-contractor-in-northern-virginia-fairfax/,battlefielddecks.com #14,,,48.0,"local_pack, people_also_ask, organic, people_also_search, related_searches"
davis colors concrete color chart,720,9,0.029999999329447746,0.03999999910593033,informational,1,14,fairfaxcontractor.com,https://fairfaxcontractor.com/davis-color-chart/,fairfaxcontractor.com #14,,,48.0,"ai_overview, organic, images, related_searches"
vinyl fence semi private,720,0,1.7599999904632568,1,transactional,1,14,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/vinyl-fencing/semi-private/,fenceanddeckconnection.com #14,,,48.0,"popular_products, organic, images, people_also_ask, video, related_searches"
what is a three season room,720,0,5.840000152587891,0.07000000029802322,informational,3,14,sunburstdeck.com,https://sunburstdeck.com/three-season-vs-four-season-sunrooms/,sunburstdeck.com #14; steadfastinc.com #36; fortress.builders #73,,,48.0,"ai_overview, organic, people_also_ask, discussions_and_forums, short_videos, related_searches, images"
breweries northern va,1000,36,0.5699999928474426,0.20999999344348907,commercial,1,20,deckscapesofva.com,https://deckscapesofva.com/blog/best-breweries-and-wineries-northern-virginia,deckscapesofva.com #20,,,47.62,"local_pack, organic, related_searches"
deck screened porch,1000,0,5.699999809265137,0.9900000095367432,commercial,1,20,velerodeckdesigns.com,https://velerodeckdesigns.com/gallery/screened-porch/,velerodeckdesigns.com #20,,,47.62,"organic, people_also_ask, images, video, people_also_search, discussions_and_forums, popular_products, related_searches"
deck cleaner trex,1900,0,0.550000011920929,0.9599999785423279,transactional,1,39,battlefielddecks.com,https://battlefielddecks.com/how-to-clean-trex-decking/,battlefielddecks.com #39,,,47.5,"ai_overview, organic, people_also_ask, video, discussions_and_forums, popular_products, short_videos, related_searches"
cost of replacing deck,2400,0,10.079999923706055,0.49000000953674316,commercial,1,50,battlefielddecks.com,https://battlefielddecks.com/deck-repair-or-replacement-how-much-does-it-cost/,battlefielddecks.com #50,,,47.06,"ai_overview, organic, people_also_ask, perspectives, related_searches"
deck and fence near me,140,38,20.260000228881836,0.8500000238418579,transactional,1,2,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/,fenceanddeckconnection.com #2,,,46.67,"local_pack, people_also_ask, organic, related_searches"
stone ridge decking,140,14,89.86000061035156,0.029999999329447746,transactional,1,2,stoneridgeoutdoor.com,https://www.stoneridgeoutdoor.com/,stoneridgeoutdoor.com #2,,,46.67,"organic, people_also_ask, images, related_searches, knowledge_graph, google_reviews, third_party_reviews"
what is timbertech,140,0,3.0299999713897705,0.49000000953674316,informational,1,2,sunburstdeck.com,https://sunburstdeck.com/what-is-timbertech-made-of/,sunburstdeck.com #2,,,46.67,"ai_overview, organic, people_also_ask, video, perspectives, related_searches, images"
gravel driveway contractor near me,1300,0,5.760000228881836,0.5299999713897705,commercial,1,27,fairfaxcontractor.com,https://fairfaxcontractor.com/gravel-driveway-contractor-northern-virginia/,fairfaxcontractor.com #27,,,46.43,"local_pack, organic, people_also_ask, related_searches"
james hardie siding contractors,1300,16,21.459999084472656,0.07000000029802322,navigational,1,27,fairfaxcontractor.com,https://fairfaxcontractor.com/jameshardie-plank-siding-contractor/,fairfaxcontractor.com #27,,,46.43,"organic, local_pack, people_also_ask, related_searches, images"
mi construction companies,720,43,9.489999771118164,0.33000001311302185,commercial,1,15,commconstruct.com,https://commconstruct.com/,commconstruct.com #15,,,45.0,"local_pack, organic, people_also_search, people_also_ask, related_searches"
how long does a wood deck last,720,0,3.2100000381469727,0.05000000074505806,informational,1,15,deckscapesofva.com,https://deckscapesofva.com/blog/how-long-does-a-deck-last,deckscapesofva.com #15,,,45.0,"ai_overview, organic, people_also_ask, video, related_searches"
how long does wood decking last,720,0,3.2100000381469727,0.05000000074505806,informational,1,15,deckscapesofva.com,https://deckscapesofva.com/blog/how-long-does-a-deck-last,deckscapesofva.com #15,,,45.0,"ai_overview, organic, people_also_ask, related_searches"
what is a 3 season room,720,0,5.840000152587891,0.07000000029802322,informational,2,15,sunburstdeck.com,https://sunburstdeck.com/three-season-vs-four-season-sunrooms/,sunburstdeck.com #15; steadfastinc.com #35,,,45.0,"ai_overview, organic, people_also_ask, discussions_and_forums, related_searches, images"
4-season sunroom cost,720,0,6.529999732971191,0.9800000190734863,commercial,1,15,sunburstdeck.com,https://sunburstdeck.com/three-season-vs-four-season-sunrooms/,sunburstdeck.com #15,,,45.0,"ai_overview, organic, people_also_ask, discussions_and_forums, images, video, related_searches"
deck size,720,0,2.8499999046325684,0.20000000298023224,transactional,1,15,sunburstdeck.com,https://sunburstdeck.com/what-is-a-good-size-deck/,sunburstdeck.com #15,,,45.0,"ai_overview, organic, people_also_ask, video, related_searches, images"
deck contractor fairfax va,90,0,2.119999885559082,0.14000000059604645,commercial,13,1,deckscapesofva.com,https://deckscapesofva.com/,deckscapesofva.com #1; coreoutdoor.com #3; fairfaxcontractor.com #4; battlefielddecks.com #6; nvdeck.com #13; prodeckconstructionva.com #15; deckguru.com #16; northerndeckworks.com #24; decksva.com #26; velerodeckdesigns.com #28; fortress.builders #35; steadfastinc.com #41; deckbuildersinc.com #69,,,45.0,"local_pack, organic, related_searches"
deck repair fairfax va,90,0,6.159999847412109,0.3100000023841858,commercial,5,1,deckguru.com,https://deckguru.com/,deckguru.com #1; fairfaxcontractor.com #9; deckscapesofva.com #11; steadfastinc.com #36; decksva.com #40,,,45.0,"ai_overview, organic, people_also_ask, local_pack, related_searches"
what is the best mortar for flagstone,90,0,0.28999999165534973,0.9700000286102295,informational,1,1,fairfaxcontractor.com,https://fairfaxcontractor.com/types-of-mortar/,fairfaxcontractor.com #1,,,45.0,"ai_overview, organic, people_also_ask, video, popular_products, images, related_searches"
maryland fence installation,90,17,5.340000152587891,0.12999999523162842,commercial,1,1,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/,fenceanddeckconnection.com #1,,,45.0,"local_pack, organic, people_also_ask, discussions_and_forums, related_searches"
how to clean trex composite decking,2400,0,0.5699999928474426,0.9300000071525574,informational,1,53,battlefielddecks.com,https://battlefielddecks.com/how-to-clean-trex-decking/,battlefielddecks.com #53,,,44.44,"ai_overview, organic, people_also_ask, video, discussions_and_forums, short_videos, related_searches"
cost to deck,1600,23,5.539999961853027,0.6899999976158142,informational,1,35,sunburstdeck.com,https://sunburstdeck.com/guide-to-timbertech-decking-costs/,sunburstdeck.com #35,,,44.44,"ai_overview, organic, people_also_ask, video, discussions_and_forums, related_searches"
how much does it cost to build a porch,390,0,5.900000095367432,0.3799999952316284,informational,1,8,deckscapesofva.com,https://deckscapesofva.com/blog/porch-costs-northern-virginia,deckscapesofva.com #8,,,43.33,"ai_overview, organic, people_also_ask, images, perspectives, related_searches"
features of a pool,260,0,2.0399999618530273,0.36000001430511475,informational,1,5,deckscapesofva.com,https://deckscapesofva.com/blog/designing-your-northern-va-pool,deckscapesofva.com #5,,,43.33,"ai_overview, organic, people_also_ask, video, related_searches, images"
increte systems color chart,260,0,,0.009999999776482582,informational,1,5,fairfaxcontractor.com,https://fairfaxcontractor.com/increte-concrete-color-chart/,fairfaxcontractor.com #5,,,43.33,"images, organic, related_searches"
boca codes,260,0,,0,informational,1,5,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/pool-code-fencing-boca-codes/,fenceanddeckconnection.com #5,,,43.33,"ai_overview, organic, people_also_ask, related_searches, images"
can i put fire pit on wood deck,170,0,1.690000057220459,0.12999999523162842,informational,1,3,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/blog/2021/03/11/how-to-safely-use-a-fire-pit-on-your-wood-or-composite-deck/,fenceanddeckconnection.com #3,,,42.5,"ai_overview, organic, people_also_ask, discussions_and_forums, video, short_videos, images, related_searches"
