Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
build your own deck,USD,10,0%,0%,High,100,,,,,,,,0,0,10,10,10,10,10,0,0,10,10,10
backyard deck designs,USD,10,0%,0%,High,81,2.42,4.77,,,,,,10,20,10,10,10,10,10,10,10,10,10,10
loudoun deck repair,USD,30,300%,0%,High,74,5,21.28,100%,,,,,50,30,30,20,40,30,30,30,10,10,10,40
price to build a deck,USD,30,100%,-20%,Medium,53,2.91,7.27,13%,,,Y,,30,70,50,40,30,40,30,20,20,20,20,40
trex contractors near me,USD,10,0%,-100%,Unknown,,,,,,,Y,,10,0,10,0,10,0,10,0,0,0,0,0
the deck and fence company,USD,20,100%,-33%,High,93,4.31,37.62,5%,,,Y,,50,30,50,20,10,10,20,10,10,10,10,20
cheap deck builders,USD,10,0%,0%,High,100,,,,,,Y,,10,10,0,0,0,0,10,0,10,10,0,10
trex find a builder,USD,10,?,0%,Medium,57,,,20%,,,Y,,10,0,0,0,10,0,10,0,10,0,0,10
fence and deck builders near me,USD,10,0%,-100%,Unknown,,,,,,,Y,,0,0,10,10,0,0,0,0,0,0,0,0
deck repair company,USD,10,0%,0%,Medium,50,,,,,,Y,,10,10,10,10,10,10,10,10,10,10,10,10
deck estimate calculator,USD,10,0%,0%,Unknown,,,,,,,,,0,0,10,10,10,10,10,10,10,0,10,0
deck professionals,USD,20,0%,0%,Low,16,,,,,,Y,,10,20,30,20,20,20,20,10,20,10,10,10
deck layout,USD,10,0%,-50%,Low,24,3.93,9.28,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
deck and fence builders near me,USD,10,?,0%,High,86,,,,,,Y,,0,10,0,0,0,0,0,0,0,0,0,10
deck repair woodbridge va,USD,40,100%,33%,High,99,8.34,35.29,8%,,,,,90,50,40,40,40,40,30,10,10,20,20,40
deck repair and restoration,USD,10,0%,-100%,Unknown,,,,,,,Y,,10,10,10,0,0,10,0,0,0,0,0,0
deck building and repair near me,USD,10,0%,0%,Unknown,,,,,,,Y,,10,0,0,0,0,10,0,0,0,0,0,0
wood deck installers near me,USD,10,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,10,0,0,0,0,0,0,0
outdoor decks near me,USD,10,0%,?,Medium,43,,,,,,,,10,0,0,0,10,0,0,0,0,10,10,10
deck and fence,USD,40,200%,-40%,High,89,12.36,39.88,17%,,,Y,,70,90,50,40,50,30,30,20,30,10,10,30
deck rebuild,USD,10,0%,0%,High,92,5,37.89,30%,,,Y,,10,10,10,10,10,10,10,0,10,10,10,10
fence and deck companies near me,USD,10,-100%,-100%,Unknown,,,,,,,,,110,10,10,10,10,10,10,10,10,10,10,0
porches and decks near me,USD,10,0%,-100%,Unknown,,,,,,,,,10,10,0,0,0,0,0,0,10,0,0,0
new decks near me,USD,10,-100%,-100%,Unknown,,,,,,,,,10,10,0,0,10,10,0,0,0,10,0,0
porch builders in my area,USD,10,?,?,Low,14,,,,,,,,0,10,0,10,0,10,0,0,0,0,0,10
decks built near me,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,10,0,0,0,0,0,0
looking for deck builders,USD,0,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,0,0,0,0,0,0,0,0
decking builders,USD,10,0%,?,Low,0,,,,,,,,10,10,10,10,10,10,0,0,10,10,10,10
back porch builders,USD,10,0%,?,Low,4,,,,,,,,0,0,10,0,10,70,0,10,0,10,10,10
deck repair manassas va,USD,10,0%,?,High,100,,,,,,,,10,10,10,10,20,10,10,10,10,10,10,10
outdoor deck companies near me,USD,10,0%,?,Low,0,,,,,,Y,,0,0,0,0,0,0,10,0,0,10,0,10
residential patio contractors near me,USD,0,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
average cost of deck replacement,USD,10,0%,0%,Medium,66,6.92,16.13,,,,Y,,10,10,10,10,10,10,10,10,0,10,10,10
timbertech dealers near me,USD,10,0%,0%,High,96,0.71,16.74,,,,,,10,10,10,10,10,10,10,10,0,10,0,10
3d deck design free,USD,10,0%,0%,Unknown,,,,,,,,,10,10,10,0,0,10,0,0,0,0,0,0
labor cost to build a deck,USD,10,0%,0%,Medium,50,,,,,,Y,,0,10,10,10,10,10,10,10,10,10,0,10
building a deck frame,USD,10,0%,0%,Low,7,,,,,,,,10,10,10,0,10,10,0,10,0,10,0,10
deck repair and restoration near me,USD,10,0%,-100%,Unknown,,,,,,,,,10,0,10,0,0,0,10,0,10,0,0,0
get a deck built,USD,0,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,0,0,0,0,0,0,0,0
backyard patio builders,USD,10,0%,?,Low,0,,,,,,,,0,0,0,0,0,0,0,10,0,10,0,10
licensed deck contractor near me,USD,10,0%,?,Low,14,,,,,,,,10,0,10,0,10,10,0,0,10,10,0,10
deck and gazebo builders near me,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
deck design calculator,USD,10,0%,0%,Unknown,,,,,,,,,10,0,10,10,0,10,0,0,0,0,0,0
deck planning tool,USD,10,?,0%,Medium,62,3.68,7.04,,,,,,10,10,10,10,10,10,10,0,10,0,10,10
deck and patio companies near me,USD,10,0%,0%,Low,21,,,,,,,,0,10,10,0,0,30,0,0,0,10,0,10
outdoor builders near me,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,10,0,0,10,0,0,0,0,0
deck drawings for permit,USD,10,0%,0%,High,86,2.39,14.78,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
deck repair cost calculator,USD,10,0%,0%,Low,22,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
patio deck repair,USD,10,0%,0%,High,100,,,,,,,,10,10,10,10,0,0,0,10,0,10,0,10
free deck estimates near me,USD,10,?,0%,High,71,,,,,,,,10,10,0,10,10,0,0,0,10,0,0,10
deck replacement cost calculator,USD,10,0%,0%,Low,26,,,,,,,,10,30,20,20,20,10,10,10,10,10,10,10
trex deck installation,USD,50,750%,325%,Low,6,2.98,24.44,< 1%,,,Y,,40,50,50,70,70,50,20,20,10,20,50,170
balcony builders,USD,10,0%,?,Low,0,,,,,,,,0,0,0,0,10,0,0,0,0,10,10,10
covered patio contractors,USD,10,0%,?,Low,0,,,,,,,,0,10,10,10,10,10,10,0,0,10,10,10
deck repair northern virginia,USD,10,200%,200%,High,88,16.55,33.39,17%,,,,,20,40,10,20,10,10,10,10,10,10,10,30
design my deck,USD,10,?,0%,High,86,,,,,,,,10,10,0,0,10,0,0,0,10,0,10,10
deck and stairs builders,USD,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,0,0,0,0,0,0
new deck builders near me,USD,10,0%,0%,Unknown,,,,,,,,,0,10,0,10,10,0,0,0,10,0,0,0
local deck companies,USD,10,0%,?,High,79,,,,,,Y,,10,0,0,0,0,0,0,0,0,10,0,10
deck stairs contractor near me,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,0,0,0,0,0,0
timbertech deck builder,USD,10,0%,?,Low,0,,,,,,Y,,0,10,0,0,10,0,0,0,0,10,0,10
cost to build a deck calculator,USD,10,?,?,Medium,62,,,,,,,,10,0,10,10,0,10,10,0,0,0,0,10
deck replacement cost estimator,USD,10,?,?,High,86,,,,,,,,0,0,10,0,0,0,0,0,0,0,0,10
wood deck replacement near me,USD,10,?,0%,High,100,28.08,51.4,10%,,,Y,,0,10,0,0,0,10,10,0,0,0,0,10
composite decks near me,USD,10,-100%,-100%,Unknown,,,,,,,Y,,10,10,10,10,10,10,10,0,10,50,10,0
find a deck builder near me,USD,10,-100%,0%,Unknown,,,,,,,Y,,0,0,0,10,10,0,0,0,0,10,0,0
local deck contractors near me,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
deck construction contractors near me,USD,0,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,0,0,0,0,0,0,0,0
cost to have a deck built,USD,10,?,?,High,79,,,,,,,,10,10,0,0,10,0,0,0,10,0,0,10
pro deck,USD,10,0%,0%,Medium,45,5.61,20.02,,,,Y,,10,10,10,20,10,10,10,10,10,10,10,10
affordable deck builders,USD,10,0%,-100%,Unknown,,,,,,,,,0,10,10,0,0,0,0,0,0,0,0,0
patio deck repair near me,USD,10,0%,?,Low,0,,,,,,Y,,0,10,0,0,0,0,10,0,0,10,10,10
deck building materials,USD,10,0%,-50%,Low,22,,,,,,,,20,20,20,10,20,20,10,10,10,10,10,10
deck framing calculator,USD,10,0%,0%,Low,0,,,,,,,,10,10,10,0,10,10,10,10,10,10,0,10
trex deck design tool,USD,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,0,0,10,10,10
deck construction company,USD,10,100%,-33%,Low,6,,,,,,Y,,30,10,10,10,10,0,10,0,10,10,10,20
deck and railing contractors near me,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
composite deck installers,USD,70,175%,267%,Low,14,3.93,17.68,< 1%,,,Y,,40,90,110,110,110,70,110,50,30,40,20,110
deck visualizer,USD,10,-100%,-100%,Unknown,,,,,,,,,10,0,10,0,0,10,0,0,10,10,0,0
composite deck contractors,USD,20,0%,0%,Low,4,,,,,,Y,,20,30,30,30,10,70,50,10,10,10,10,10
composite deck repair near me,USD,10,0%,0%,Unknown,,,,,,,Y,,0,0,0,10,0,0,10,0,0,0,0,0
trex builders near me,USD,10,?,0%,Medium,43,,,,,,,,10,0,10,0,0,0,0,0,0,0,0,10
composite deck builder near me,USD,20,0%,0%,High,77,,,10%,,,Y,,10,10,10,20,10,30,90,20,10,10,10,10
wooden deck builders,USD,10,0%,0%,Low,0,,,,,,Y,,10,10,10,10,10,0,10,10,0,10,10,10
outdoor deck designs,USD,10,0%,0%,Medium,34,,,,,,,,10,10,10,10,10,10,10,10,0,10,10,10
my deck,USD,10,0%,0%,Medium,48,,,10%,,,Y,,0,10,10,0,10,0,10,0,10,10,10,10
deck builders northern virginia,USD,20,0%,-80%,High,86,23.86,57.92,10%,,,Y,,20,20,10,10,20,20,10,10,10,10,10,10
deck design companies near me,USD,10,?,0%,High,100,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10
deck framing guide,USD,30,100%,0%,Medium,54,,,5%,,,,,20,40,50,70,30,30,20,10,10,10,10,20
azek deck designer,USD,10,0%,?,Medium,36,,,,,,,,10,10,10,0,0,10,10,0,0,10,0,10
under decking installers near me,USD,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,10,0,0,0,0,0,0,0
patio deck contractors,USD,10,?,?,Low,0,,,,,,Y,,0,0,0,0,10,0,0,0,0,0,0,10
leesburg decks,USD,10,0%,0%,High,71,14.51,33.05,100%,,,,,10,10,10,10,10,10,10,10,10,10,10,10
deck design services,USD,10,?,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,0,0,10,10
outdoor deck contractors,USD,10,0%,0%,Unknown,,,,,,,Y,,0,0,10,10,0,0,0,0,10,0,10,0
deck price per square foot,USD,10,0%,0%,High,93,,,,,,,,10,10,10,10,10,10,10,10,0,10,10,10
deck design and build near me,USD,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,10,0,10,0,0,0,0
build a deck on the ground,USD,10,0%,0%,High,90,0.99,7.17,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
patio remodeling contractors near me,USD,10,?,?,High,100,,,,,,,,10,10,10,0,0,0,0,0,10,0,0,10
free deck blueprints,USD,10,0%,-50%,Medium,66,2.29,6.67,,,,,,20,20,20,30,10,10,10,10,10,10,10,10
trex designer,USD,10,0%,0%,Medium,54,,,,,,Y,,10,10,10,10,10,10,10,10,10,10,10,10
wood deck contractors,USD,10,0%,0%,Unknown,,,,,,,Y,,10,0,10,10,0,10,10,0,0,0,0,0
porch designer,USD,10,0%,0%,Low,29,,,,,,,,10,0,0,10,10,10,0,0,0,10,0,10
patio remodeling contractors,USD,10,?,?,Medium,50,,,,,,,,10,0,0,0,10,10,0,10,0,0,0,10
new deck cost estimator,USD,10,?,0%,High,86,,,,,,,,0,0,10,0,0,0,0,10,0,0,10,10
porch deck builders near me,USD,10,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,0,0,0,10,0,0,0,0
deck construction guide,USD,10,0%,0%,Low,0,,,,,,,,10,0,10,10,10,10,10,10,10,10,0,10
reputable deck builders near me,USD,10,?,?,High,100,,,20%,,,,,0,10,0,0,0,0,0,0,0,0,0,10
contractor for deck repair,USD,50,250%,250%,Low,5,,,,,,,,20,40,70,70,110,90,50,30,10,20,20,70
timbertech near me,USD,10,0%,0%,Medium,45,,,20%,,,,,10,10,10,10,10,10,10,0,10,10,0,10
deck builder tool,USD,20,100%,100%,Low,24,0.45,4.74,,,,,,20,20,30,20,20,30,20,10,10,10,10,20
build my deck,USD,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,10,0,0,0,0,0,0
deck construction plans,USD,10,100%,0%,Medium,51,1.33,5.34,5%,,,,,20,20,20,10,10,10,20,10,10,10,10,20
affordable decking,USD,10,0%,0%,Medium,62,,,,,,,,30,30,20,10,10,10,0,0,0,10,10,10
house decks,USD,30,50%,0%,Medium,56,3.33,8.74,13%,,,Y,,40,30,30,20,20,30,30,20,20,20,10,30
labor cost to build a composite deck,USD,10,0%,-100%,Unknown,,,,,,,,,0,10,0,0,0,10,0,0,0,0,0,0
design my deck online free,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,10,0,0,0,0,0,0,0,0
deck fixers,USD,10,?,0%,Low,0,,,,,,,,10,0,10,0,0,0,10,10,0,0,0,10
outdoor living space contractors near me,USD,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,10,0,10,10,0,0
roof and deck contractors,USD,10,-100%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,10,10,0,10,0,0
back porch contractors near me,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
deck drawings,USD,10,0%,-50%,Medium,38,4.16,6.85,20%,,,,,10,20,10,10,10,10,20,10,10,10,10,10
deck builders around me,USD,10,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,0
deck project,USD,10,0%,0%,Medium,36,,,,,,Y,,10,10,10,10,10,0,0,0,0,10,10,10
screened porch builders,USD,40,800%,-18%,Low,7,6.16,25.5,,,,,,110,70,40,50,40,30,10,10,10,10,20,90
patio deck designs,USD,10,100%,100%,High,92,1.72,5.61,,,,Y,,10,20,10,30,10,10,10,0,10,10,10,20
wood deck cost,USD,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,0
porch deck,USD,20,100%,-50%,High,88,2.04,15.67,10%,,,Y,,20,20,10,20,20,20,20,10,10,10,10,20
composite deck builders in my area,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,10,0,0,0
timbertech installers near me,USD,10,-100%,-100%,Unknown,,,,,,,Y,,0,0,10,10,0,0,0,0,0,10,0,0
outdoor patio companies near me,USD,10,0%,0%,High,93,,,,,,,,10,10,0,0,0,10,10,0,0,10,0,10
deck plans for permit,USD,10,?,0%,Low,29,,,,,,,,0,10,10,10,10,10,10,10,0,0,10,10
custom patio builders near me,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,0
quote for deck installation,USD,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,0,0,0,0,0,0
deck and patio near me,USD,10,0%,0%,Low,30,,,10%,,,,,20,10,10,10,10,10,10,10,10,10,10,10
deck construction and repair near me,USD,0,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,0,0,0,0,0,0,0,0
northern virginia deck and fence,USD,30,100%,0%,Medium,58,5.62,19.94,18%,,,Y,,30,50,30,30,40,30,20,10,20,20,20,40
deck repair estimate,USD,10,?,0%,High,100,,,40%,,,,,10,10,10,0,10,10,10,0,10,0,10,10
new deck installation,USD,10,0%,0%,Low,0,,,,,,Y,,10,0,0,10,0,0,10,0,0,10,0,10
trex installer near me,USD,10,?,?,High,86,,,,,,,,0,0,0,0,0,10,0,0,0,0,0,10
deck repair leesburg va,USD,20,0%,-67%,High,82,,,60%,,,Y,,40,10,30,20,20,40,10,10,10,10,10,10
deck building guide,USD,10,0%,0%,Low,0,,,,,,,,10,0,10,10,10,10,10,10,10,10,0,10
deck and fence builders,USD,10,0%,?,High,97,,,40%,,,Y,,0,0,10,0,0,10,10,0,0,10,10,10
deck repair quote,USD,10,?,0%,High,100,,,,,,,,0,10,0,0,10,0,10,0,0,0,0,10
composite deck designs,USD,10,0%,0%,Low,29,1,3,,,,Y,,10,10,20,10,10,10,10,10,10,10,10,10
deck building quotes,USD,10,0%,0%,Unknown,,,,,,,,,0,10,10,0,10,10,0,0,10,0,0,0
trex certified installer,USD,10,0%,?,High,71,,,,,,Y,,10,0,0,10,10,0,10,0,0,10,10,10
fence and deck contractors near me,USD,0,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,0,0,0,0,0,0,0,0
companies who build decks,USD,0,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,0,0,0,0,0,0,0,0
deck designers and builders near me,USD,10,0%,0%,Unknown,,,,,,,Y,,0,0,10,0,0,10,0,10,0,0,0,0
deck plans online,USD,10,?,0%,Medium,64,,,,,,,,0,10,10,10,10,0,0,0,0,0,10,10
deck layout calculator,USD,10,-100%,0%,Unknown,,,,,,,,,0,10,10,10,0,10,0,0,0,10,10,0
design your deck,USD,10,0%,0%,Unknown,,,,,,,,,10,10,0,0,0,0,10,0,0,0,0,0
best deck and patio contractors near me,USD,10,0%,0%,High,100,,,,,,,,10,10,0,10,10,0,0,10,0,10,0,10
deck repair sterling va,USD,10,0%,0%,High,98,,,60%,,,,,10,40,20,20,20,20,10,10,10,10,10,10
timbertech designer,USD,10,0%,?,Medium,40,,,,,,,,10,0,10,10,10,0,10,10,10,10,10,10
i need a new deck,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,10,0,0,0
wood deck calculator,USD,10,?,0%,Medium,43,,,10%,,,,,10,10,10,10,10,10,0,0,0,0,0,10
house deck builders near me,USD,10,0%,-100%,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0
deck carpenters,USD,10,0%,0%,Unknown,,,,,,,Y,,0,10,10,10,10,0,0,0,0,0,0,0
deck framing design tool,USD,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,10,0,0,0,0,0
backyard deck near me,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
home decks,USD,20,50%,50%,Medium,43,4.87,11,10%,,,,,30,30,20,40,20,10,20,10,20,20,10,30
timbertech decking near me,USD,10,-100%,-100%,Unknown,,,,,,,,,0,0,10,10,10,10,0,10,0,10,10,0
deck and fence contractors near me,USD,10,?,0%,High,86,,,,,,Y,,0,0,0,0,0,0,10,0,0,0,0,10
company that builds decks,USD,0,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,0,0,0,0,0,0,0,0
deck building contractor,USD,50,100%,0%,Low,12,,,,,,,,50,50,70,70,50,70,30,20,20,20,20,40
wood decks near me,USD,10,?,?,High,86,,,,,,Y,,0,0,10,10,0,0,10,10,0,0,0,10
backyard deck contractors,USD,10,0%,0%,Low,0,,,,,,Y,,0,0,0,10,10,0,0,0,0,10,10,10
deck reconstruction,USD,10,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,10,0,10,0,0,0,0,0
deck repair services,USD,10,0%,0%,Medium,39,,,10%,,,,,10,10,10,10,10,10,10,10,10,10,0,10
deck design company,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,10,10,0,0,0,0,0,0,0
outdoor construction companies near me,USD,10,?,?,High,100,,,,,,,,10,0,0,0,10,0,10,0,0,0,0,10
ipe deck installers near me,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,0,0,0,0,0,0
decks in a day,USD,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,10,0,0,0,0,0,0,0
backyard deck installation,USD,10,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,10,0,0,0,0,0,0,0
composite deck estimate,USD,10,0%,-100%,Unknown,,,,,,,,,10,10,10,10,10,0,0,0,0,0,0,0
wood deck plans,USD,10,0%,0%,High,75,,,,,,,,10,10,10,10,0,10,0,0,10,10,0,10
deck builders manassas va,USD,20,100%,100%,High,79,13.7,56.12,15%,,,,,30,20,30,20,20,10,20,10,10,10,10,20
custom decks and designs,USD,10,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,10,0,0,0,0,0,0,0
trex builders,USD,10,?,0%,High,86,,,10%,,,Y,,10,10,0,0,0,0,10,10,0,0,0,10
deck repair springfield va,USD,10,0%,0%,High,100,,,,,,,,10,10,20,20,10,20,10,0,10,10,10,10
screened in deck builders near me,USD,10,0%,?,Medium,57,,,10%,,,,,0,10,10,10,10,0,10,10,0,10,0,10
deck repair replacement near me,USD,10,0%,0%,Unknown,,,,,,,Y,,0,0,10,0,0,10,0,10,0,0,0,0
best patio contractors near me,USD,10,?,0%,High,100,,,10%,,,,,0,10,10,10,0,0,0,0,10,0,10,10
wood deck cost calculator,USD,10,?,0%,Medium,50,,,,,,,,10,10,10,0,10,0,0,10,10,0,10,10
cost of a deck replacement,USD,50,75%,0%,Medium,54,2.74,20.56,10%,,,,,70,90,50,90,70,40,50,30,20,40,40,70
contractors near me for deck building,USD,, --, --,Unknown,,,,,,,,,,,,,,,,,,,,
wood deck installation near me,USD,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,0,0,0,0,0,0,0,0
cost for composite deck,USD,10,0%,0%,High,88,1.98,5.23,,,,,,10,10,20,10,10,10,10,0,10,10,10,10
porch building companies,USD,0,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,0,0,0,0,0,0,0,0
contractors decks near me,USD,, --, --,Unknown,,,,,,,,,,,,,,,,,,,,
professional deck builders near me,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,0,10,0,0,0,0
deck & fence company,USD,10,0%,0%,Unknown,,,,,,,Y,,0,10,0,10,0,10,10,0,0,0,0,0
deck built,USD,10,-100%,0%,Unknown,,,,,,,Y,,10,10,10,0,10,10,10,0,0,10,0,0
outdoor deck installation,USD,10,-100%,-100%,Unknown,,,,,,,Y,,10,10,0,0,0,0,10,0,0,10,0,0
estimate for deck replacement,USD,10,?,0%,High,79,,,,,,Y,,10,10,10,10,0,10,10,10,0,0,0,10
small deck,USD,10,0%,0%,High,100,,,,,,,,30,20,10,20,10,20,10,10,10,10,10,10
front porch installation near me,USD,10,?,0%,Medium,57,,,,,,,,0,0,0,0,0,0,0,10,10,0,0,10
companies that build porches,USD,10,0%,0%,Unknown,,,,,,,Y,,0,10,0,0,0,0,0,0,0,0,0,0
framing a deck,USD,50,33%,-20%,Low,25,,,5%,,,,,70,70,50,50,50,70,50,30,10,30,20,40
deck designs with trex,USD,10,0%,0%,Medium,62,1.28,5.98,10%,,,,,10,20,30,10,10,10,10,10,10,10,10,10
all decks,USD,10,?,0%,Low,14,,,,,,,,0,0,0,0,0,0,0,10,10,0,10,10
custom deck company,USD,0,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,0,0,0,0,0,0,0,0
average cost of deck installation,USD,10,0%,0%,Medium,61,2.59,5.65,,,,Y,,10,10,10,10,0,10,10,0,0,10,0,10
custom built decks,USD,10,0%,0%,Low,0,,,,,,Y,,0,0,10,0,0,10,10,0,0,10,0,10
wood patio builders near me,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
best deck company,USD,10,0%,0%,Low,17,,,,,,,,10,0,0,10,10,10,10,0,0,10,10,10
rooftop deck contractors,USD,10,0%,0%,Low,0,,,,,,,,0,10,10,10,10,10,10,10,10,10,10,10
small deck builders,USD,10,?,0%,High,67,,,,,,,,10,10,10,10,10,10,10,10,0,0,10,10
cost to build composite deck,USD,10,-100%,0%,Unknown,,,,,,,,,10,0,10,10,0,0,10,10,0,10,0,0
exterior deck contractors near me,USD,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,0,0,0,0,0,0,0,0
porch deck builders,USD,10,?,0%,Low,25,,,,,,,,10,0,10,0,10,0,0,0,10,0,10,10
new deck estimate,USD,10,?,?,Low,14,,,,,,Y,,10,0,10,10,0,0,0,0,0,0,0,10
outdoor deck construction,USD,10,0%,0%,Low,0,,,,,,Y,,10,10,10,0,10,10,10,10,0,10,0,10
deck tech near me,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,0
best deck building companies near me,USD,10,0%,0%,Unknown,,,,,,,,,10,10,0,0,0,0,0,0,0,0,0,0
trex deck designer tool,USD,90,120%,267%,Low,13,0.75,6.84,2%,,,,,90,70,90,260,140,140,90,50,20,50,50,110
cost to build a new deck,USD,10,-100%,-100%,Unknown,,,,,,,Y,,10,0,10,10,10,10,10,10,10,10,10,0
timbertech deck design,USD,10,0%,0%,Medium,51,1.44,12.66,,,,,,0,10,10,10,10,10,10,10,10,10,10,10
average cost for deck replacement,USD,10,0%,0%,Medium,66,6.92,16.13,,,,Y,,10,10,10,10,10,10,10,10,0,10,10,10
deck building services,USD,10,0%,0%,Low,0,,,,,,Y,,10,10,10,10,10,50,10,10,10,10,0,10
contractor to build a deck near me,USD,, --, --,Unknown,,,,,,,,,,,,,,,,,,,,
trex deck estimate,USD,10,100%,100%,Medium,43,0.95,8.41,,,,Y,,20,20,20,20,20,20,10,10,10,10,10,20
wood deck builder,USD,10,0%,0%,Low,0,,,,,,Y,,10,10,10,10,10,0,10,10,0,10,10,10
deck builder fairfax va,USD,390,0%,5800%,Low,2,6.58,29.46,1%,,,Y,,40,70,140,210,110,110,70,10,170,590,2400,590
patio and decks near me,USD,10,0%,?,Medium,57,,,,,,,,10,10,10,10,0,10,0,0,0,10,0,10
deck remodeling cost,USD,10,0%,0%,Medium,43,11.5,34.97,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
need deck built,USD,0,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,0,0,0,0,0,0,0,0
deck labor cost,USD,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,10,10,0,0,0,10,0,0
cheapest way to build a deck,USD,10,?,?,High,100,,,,,,,,10,10,0,0,0,0,0,0,0,0,0,10
deck building financing,USD,10,0%,-100%,Unknown,,,,,,,,,10,10,0,0,0,10,0,0,0,0,0,0
materials needed to build a deck,USD,10,0%,-100%,Unknown,,,,,,,,,0,10,10,0,0,10,10,10,0,0,0,0
platinum decking,USD,10,?,?,Low,29,,,,,,Y,,0,0,0,10,0,10,0,0,10,0,0,10
deck and fence contractors,USD,10,?,0%,Low,0,,,,,,Y,,10,10,0,0,0,10,10,0,0,0,0,10
design your deck online free,USD,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,10,0,0,0,0,0,0,0
3d deck builder,USD,10,?,0%,Medium,57,,,,,,,,0,0,10,10,0,10,0,10,0,0,0,10
estimate for deck installation,USD,10,?,?,High,86,,,,,,,,0,10,10,0,0,0,0,0,0,0,0,10
new deck construction,USD,10,-100%,-100%,Unknown,,,,,,,Y,,10,0,0,0,0,0,0,0,10,10,0,0
deck project calculator,USD,10,0%,0%,Unknown,,,,,,,,,0,10,10,0,10,0,0,0,10,0,0,0
